clustered_JJ_theor*,token_count
literary theory,157
linguistic theory,104
critical theory,94
general theory,41
linguistic theories,38
different theories,22
social theory,22
semantic theory,21
electric theory,18
new theories,18
statistical theory,18
basic theory,16
feminist theory,16
literary theories,16
Mathematical Theory,16
evolutionary theory,15
scientific theory,15
such theories,15
other theories,14
various theories,14
cultural theory,13
rhetorical theory,13
textual theory,13
particular theory,12
formal theory,11
metrical theory,11
new theory,11
archaeological theory,10
current theories,10
critical theories,9
economic theory,9
hypertext theory,9
own theory,9
philosophical theory,9
political theory,9
contemporary theories,8
Grounded Theory,8
modern theories,8
post-structuralist theory,8
psychoanalytic theory,8
semantic theories,8
current theory,7
general theories,7
high theory,7
recent theories,7
scientific theories,7
semiotic theory,7
several theories,7
syntactic theories,7
underlying theory,7
aesthetic theory,6
cognitive theory,6
complete theory,6
comprehensive theory,6
editorial theory,6
feminist theories,6
formulaic theory,6
fractal theory,6
narrative theory,6
narratological theory,6
phonological theory,6
psychological theory,6
queer theory,6
anti-humanist theories,5
cognitive theories,5
generative theory,5
good theory,5
grammatical theory,5
modern theory,5
numerous theories,5
own theories,5
pedagogical theory,5
poetic theory,5
single theory,5
spatial theory,5
standard theory,5
syntactic theory,5
traditional theories,5
unified theory,5
abstract theory,4
aesthetic theories,4
computational theory,4
descriptive theory,4
many theories,4
Marxist theory,4
narratological theories,4
representational theory,4
social theories,4
textual theories,4
AI theory,3
alternative theories,3
anti-humanist theory,3
appropriate theory,3
axiomatic theory,3
certain theory,3
common theory,3
complex theory,3
computational theories,3
contemporary theory,3
cultural theories,3
cybernetic theory,3
digital theory,3
ecological theories,3
ecological theory,3
educational theory,3
first theory,3
French theory,3
future theories,3
genre theory,3
grand theory,3
instructional theory,3
interesting theory,3
major theories,3
original theory,3
perceptual theory,3
philosophical theories,3
phonetic theory,3
postmodern theories,3
powerful theories,3
radical theory,3
Reader-oriented theories,3
relevant theories,3
rival theories,3
same theory,3
satisfactory theory,3
specific theory,3
strong theory,3
structural theories,3
stylistic theory,3
stylometric theory,3
such theory,3
two-level theory,3
theory,2
adequate theory,2
advanced theory,2
alternative theory,2
analytical theory,2
ancient theories,2
asymptotic theory,2
āyurvedic theories,2
behavioral theories,2
catastrophe theory,2
comprehensive theories,2
controversial theories,2
conventional theories,2
convincing theory,2
creative theory,2
cyborg theory,2
different theory,2
dramatic theory,2
economic theories,2
elaborate theory,2
elegant theories,2
empirical theories,2
established theories,2
exogenous theory,2
explicit theory,2
extant theory,2
formal theories,2
formalist theories,2
formulating theories,2
four-dimensional theory,2
fragmentary theory,2
full theory,2
functional theory,2
generalized theory,2
generative theories,2
grammatical theories,2
historical theory,2
humanistic-informed theory,2
inadequate theory,2
interactionist theory,2
intertextual theory,2
logical theory,2
mathematical theories,2
meaningful theory,2
musical theory,2
Narrative theories,2
oral theory,2
oral-formulaic theory,2
partial theories,2
particular theories,2
pedagogical theories,2
philological theories,2
philological theory,2
popular theories,2
postcolonial theory,2
posthumanist theory,2
postmodern theory,2
poststructuralist theories,2
poststructuralist theory,2
pragmatic theory,2
pre-existing theory,2
present theory,2
previous theories,2
probabilistic theory,2
psychological theories,2
reader-response theory,2
recent theory,2
related theories,2
related theory,2
relational theory,2
retrieval theory,2
romantic theory,2
sociological theory,2
sophisticated theory,2
spatial theories,2
Special Theory,2
specific theories,2
tentative theory,2
third theory,2
truth-conditional theory,2
unifying theory,2
viable theory,2
well-supported theory,2
Theories,1
18th-century theory,1
academic theories,1
accepted theory,1
accompanying theories,1
adjusted theory,1
advanced theories,1
aesthetical theories,1
agro-biological theory,1
alchemical theory,1
alternate theory,1
ancient theory,1
archaeoastronomical theories,1
architectural theories,1
architectural theory,1
archival theory,1
archive-building theory,1
Aristotelian theory,1
arousal theories,1
arousal theory,1
articulated theories,1
artistic theory,1
associated theories,1
associated theory,1
associative theory,1
auditory theory,1
auteur theories,1
automata theory,1
auxiliary theories,1
available theories,1
available theory,1
axiomatic theories,1
basic theories,1
behavioral theory,1
biological theories,1
biological theory,1
bridging theories,1
broadly-conceived theory,1
C-net theory,1
canonical theories,1
causal theory,1
cause-oriented theories,1
centuries-spanning theory,1
certain theories,1
checklist theories,1
chiasmatic theories,1
cinematic theory,1
clear theories,1
cognitive-developmental theories,1
coherent theory,1
combinatorial theory,1
common theories,1
Communist Theory,1
comparable theories,1
competing theories,1
complex-system theory,1
componential theories,1
compositional theories,1
computationally-oriented theories,1
computer-assisted theory,1
Computer-Based Theory,1
con-vist theory,1
conceptual theories,1
congruent theories,1
connectionist theories,1
consecrated theory,1
consistent theory,1
Constructionist Theory,1
content-analytic theory,1
contextual theory,1
contradictory theories,1
corresponding theories,1
cunent theory,1
curricular theory,1
deconstructionist theories,1
deductive theory,1
Derridean theories,1
detailed theories,1
developed theories,1
dialectometric theory,1
dialogical theory,1
digital theories,1
disciplinary theory,1
discursive theory,1
dislocation theory,1
diverse theories,1
documentary theory,1
dominant theories,1
dominant theory,1
early theories,1
early-dating theory,1
editorial theories,1
educational theories,1
eighteenth-century theories,1
elaborate theories,1
electric theories,1
electromagnetic theory,1
electronic theory,1
empirical theory,1
entire theories,1
entire theory,1
Enunciative theories,1
epigenetical theories,1
eponymous theory,1
ergodic theory,1
established theory,1
ethical theory,1
ethnographic theory,1
ethnological theory,1
etymological theories,1
evident theories,1
excellent theories,1
exogenous theories,1
explicit theories,1
favourite theory,1
final theory,1
finer-grained theories,1
first-wave theory,1
folk theories,1
folkloristic theories,1
foregrounding theory,1
formalist theory,1
formalized theories,1
formalized theory,1
fourth-dimensional theories,1
from theory,1
fruitful theory,1
fuzzy theory,1
fuzzy-set theory,1
generalizing theories,1
German theory,1
Global Theories,1
grammar theories,1
grand theories,1
graphemic theory,1
great theories,1
GS-Morph Theory,1
hermeneutic theory,1
high-flown theory,1
historiographical theories,1
historiographical theory,1
hTtegrated Theory,1
humanistic theories,1
humanistic theory,1
humoral theories,1
hyper-text theory,1
ideal theory,1
ideological theory,1
idiosyncratic theory,1
important theories,1
In Theory,1
inadequate theories,1
incipient theory,1
incorporated theories,1
indexical theory,1
individual theories,1
individualist theory,1
Indological theories,1
induding theories,1
influential theories,1
influential theory,1
information-based theories,1
information-processing theory,1
informed theory,1
integrated theories,1
integrative theories,1
inter-textual theory,1
interdisciplinary theories,1
interpretative theories,1
interpreting theories,1
interpretive theory,1
KATR theories,1
language-independent theory,1
Laqueurian theory,1
large-sample theory,1
latter theories,1
latter theory,1
legacy theories,1
legal theory,1
legitimate theory,1
lexical-semantic theory,1
lexicological theory,1
limited theory,1
literary-computing theories,1
literary-critical theories,1
logical theories,1
long-term theories,1
ludological theories,1
main theories,1
mainstream theory,1
Mapping Theory,1
Marxist-Leninist theory,1
materialist theories,1
Media-centric theories,1
medical theories,1
medieval theories,1
mere theory,1
methodological theory,1
middle-range theory,1
motivated theories,1
multilevel theory,1
multivariate-normal theory,1
neoliberal theories,1
net theory,1
neural theory,1
neutral theory,1
non-empirical theories,1
nontrivial theories,1
nuanced theories,1
obsolete theory,1
only theories,1
only theory,1
organizational theory,1
other theory,1
overall theory,1
overarching theory,1
parallel theories,1
Parsonian theory,1
particularistic theories,1
pedagogic theory,1
personal theories,1
pet theories,1
phenomenological theory,1
phonemic theory,1
political theories,1
popular theory,1
post-modernist theory,1
posthuman theory,1
postmodernist theories,1
poststructural theory,1
powerful theory,1
pre-conceived theory,1
pre-existing theories,1
preconceived theory,1
predetermined theory,1
predictive theory,1
preliminary theory,1
prevalent theories,1
productive theories,1
profound theories,1
projective theory,1
prominent theories,1
proof theory,1
prospect-refuge theory,1
prototype theory,1
proven theories,1
psycholinguistic theories,1
psychometric theory,1
publicized theories,1
pure theory,1
quantitative theory,1
queer theories,1
reader-oriented theory,1
real theory,1
reasonable theory,1
reliable theories,1
representable theories,1
requisite theories,1
requisite theory,1
research-the theory,1
respective theory,1
rhetorical theories,1
Rigdon theory,1
rigorous theory,1
robust theory,1
satisfying theories,1
schematic theory,1
second theory,1
seminal theory,1
semiological theory,1
semiotic theories,1
sever theory,1
simple theory,1
so-called theory,1
so-named theories,1
socio-linguistic theory,1
sociocultural theory,1
sociological theories,1
sound theories,1
sound theory,1
Spalding-Rigdon Theory,1
Specify theories,1
specious theory,1
spectral theory,1
Standard theories,1
standardized theories,1
stemmatic theory,1
still-surviving theory,1
String Theory,1
structural theory,1
structuratist theory,1
Style Theory,1
subjective theory,1
substantive theory,1
supported theory,1
Synecdochic theories,1
synergetic theory,1
systematic theories,1
systematic theory,1
systemic theory,1
systems-based theory,1
taxonomical theories,1
terminological theory,1
Testable theories,1
text-encoding theory,1
thought-provoking theories,1
topological theories,1
traditional theory,1
transatlantic theory,1
transformational theory,1
true theory,1
twentieth-century theory,1
two-sex theory,1
unconceived theories,1
undergirding theory,1
underlying theories,1
unified theories,1
uniform theory,1
untested theory,1
usage-based theory,1
useful theory,1
utopian theories,1
valid theories,1
validated theories,1
Victorian theories,1
well-articulated theory,1
well-based theory,1
well-formed theory,1
well-reasoned theory,1
well-verified theory,1
whole theory,1
world-systems theory,1
yeah theory,1
Z-bar theory,1