name,name_reco,wikidata_id,instance of,date of death,date of birth,VIAF ID,GND ID,country of citizenship,sex or gender,theory
Boris Eichenbaum,Boris Eikhenbaum,Q893723,human,1959-11-24T00:00:00Z,1886-10-04T00:00:00Z,51855659,11868177X,Russian Empire,male,NEW_CRITICISM
Eichenbaum,Boris Eikhenbaum,Q893723,human,1959-11-24T00:00:00Z,1886-10-04T00:00:00Z,51855659,11868177X,Russian Empire,male,NEW_CRITICISM
Viktor Shklovsky,Viktor Shklovsky,Q312467,human,1984-12-05T00:00:00Z,1893-01-12T00:00:00Z,108303033,118765701,Russian Empire,male,NEW_CRITICISM
Shklovsky,Viktor Shklovsky,Q312467,human,1984-12-05T00:00:00Z,1893-01-12T00:00:00Z,108303033,118765701,Russian Empire,male,NEW_CRITICISM
Cleanth Brooks,Cleanth Brooks,Q2915226,human,1994-05-10T00:00:00Z,1906-10-16T00:00:00Z,68946341,118660195,United States of America,male,NEW_CRITICISM
W. K. Wimsatt Jr.,"William Kurtz Wimsatt, Jr.",Q8014127,human,1975-12-17T00:00:00Z,1907-11-17T00:00:00Z,44416428,,United States of America,male,NEW_CRITICISM
Wimsatt,"William Kurtz Wimsatt, Jr.",Q8014127,human,1975-12-17T00:00:00Z,1907-11-17T00:00:00Z,44416428,,United States of America,male,NEW_CRITICISM
Ivor Armstrong Richards,I. A. Richards,Q718585,human,1979-09-07T00:00:00Z,1893-02-26T00:00:00Z,73896199,118788701,United Kingdom,male,NEW_CRITICISM
Thomas Stearns Eliot,T. S. Eliot,Q37767,human,1965-01-04T00:00:00Z,1888-09-26T00:00:00Z,56609282,118529854,United States of America,male,NEW_CRITICISM
Sir William Empson,William Empson,Q966870,human,1984-04-15T00:00:00Z,1906-09-27T00:00:00Z,34474006,11868454X,United Kingdom,male,NEW_CRITICISM
William Empson,William Empson,Q966870,human,1984-04-15T00:00:00Z,1906-09-27T00:00:00Z,34474006,11868454X,United Kingdom,male,NEW_CRITICISM
Empson,William Empson,Q966870,human,1984-04-15T00:00:00Z,1906-09-27T00:00:00Z,34474006,11868454X,United Kingdom,male,NEW_CRITICISM
Frank Raymond Leavis,F. R. Leavis,Q2428288,human,1978-04-14T00:00:00Z,1895-07-14T00:00:00Z,108224907,118779109,United Kingdom,male,NEW_CRITICISM
Leavis,F. R. Leavis,Q2428288,human,1978-04-14T00:00:00Z,1895-07-14T00:00:00Z,108224907,118779109,United Kingdom,male,NEW_CRITICISM
Jan Mukarovsky,Jan Mukařovský,Q1337801,human,1975-02-08T00:00:00Z,1891-11-11T00:00:00Z,7403779,118585630,Czechoslovakia,male,NEW_CRITICISM
Mukarovsky,Jan Mukařovský,Q1337801,human,1975-02-08T00:00:00Z,1891-11-11T00:00:00Z,7403779,118585630,Czechoslovakia,male,NEW_CRITICISM
Mikhail Mikhailovich Bakhtin,Mikhail Bakhtin,Q185375,human,1975-03-07T00:00:00Z,1895-11-17T00:00:00Z,88958796,118505653,Russian Empire,male,NEW_CRITICISM
Bahktin,Mikhail Bakhtin,Q185375,human,1975-03-07T00:00:00Z,1895-11-17T00:00:00Z,88958796,118505653,Russian Empire,male,NEW_CRITICISM
New Critic*,New Criticism,Q742302,,,,,,,,NEW_CRITICISM
Bakhtin School,Q109790201,Q109790201,school of thought,,,,,,,NEW_CRITICISM
Moral Formalism,Moral Formalism,,,,,,,,,NEW_CRITICISM
Russian Formalism,Russian formalism,Q742779,school of thought,,,,,,,NEW_CRITICISM
Theory of Formalism,Theory of Formalism,,,,,,,,,NEW_CRITICISM
Formalist Theory,Formalist Theory,,,,,,,,,NEW_CRITICISM
Jonathan Culler,Jonathan Culler,Q933332,human,,1944-10-01T00:00:00Z,86612942,118155180,United States of America,male,STRUCTURALISM
Culler,Jonathan Culler,Q933332,human,,1944-10-01T00:00:00Z,86612942,118155180,United States of America,male,STRUCTURALISM
Ferdinand de Saussure,Ferdinand de Saussure,Q13230,human,1913-02-22T00:00:00Z,1857-11-26T00:00:00Z,95158205,118605879,Switzerland,male,STRUCTURALISM
de Saussure,Ferdinand de Saussure,Q13230,human,1913-02-22T00:00:00Z,1857-11-26T00:00:00Z,95158205,118605879,Switzerland,male,STRUCTURALISM
Saussure,Ferdinand de Saussure,Q13230,human,1913-02-22T00:00:00Z,1857-11-26T00:00:00Z,95158205,118605879,Switzerland,male,STRUCTURALISM
Vladimir Propp,Vladimir Propp,Q313455,human,1970-08-22T00:00:00Z,1895-04-29T00:00:00Z,2480786,119142996,Russian Empire,male,STRUCTURALISM
Propp,Vladimir Propp,Q313455,human,1970-08-22T00:00:00Z,1895-04-29T00:00:00Z,2480786,119142996,Russian Empire,male,STRUCTURALISM
Roman Jakobson,Roman Jakobson,Q156201,human,1982-07-18T00:00:00Z,1896-10-10T00:00:00Z,59084146,118711598,Russian Empire,male,STRUCTURALISM
Jakobson,Roman Jakobson,Q156201,human,1982-07-18T00:00:00Z,1896-10-10T00:00:00Z,59084146,118711598,Russian Empire,male,STRUCTURALISM
Seymour Chatman,Seymour Chatman,Q2275886,human,2015-11-04T00:00:00Z,1928-08-30T00:00:00Z,85934589,137944985,United States of America,male,STRUCTURALISM
Chatman,Seymour Chatman,Q2275886,human,2015-11-04T00:00:00Z,1928-08-30T00:00:00Z,85934589,137944985,United States of America,male,STRUCTURALISM
Structuralis* narratology,Structuralis* narratology,,,,,,,,,STRUCTURALISM
Narrative Theory,Narrative Theory,,,,,,,,,STRUCTURALISM
Theory of Narration,Theory of Narration,,,,,,,,,STRUCTURALISM
Linguist* theory,Linguist* theory,,,,,,,,,STRUCTURALISM
Structuralist Theory,Structuralist Theory,,,,,,,,,STRUCTURALISM
Theory of Structuralism,Theory of Structuralism,,,,,,,,,STRUCTURALISM
Structuralist Linguistics,Structural Linguistics,Q2466334,,,,,,,,STRUCTURALISM
Genre Theory,genre theory,Q86619995,academic discipline,,,,,,,STRUCTURALISM
,,,academic major,,,,,,,
Immanuel Kant,Immanuel Kant,Q9312,human,1804-02-12T00:00:00Z,1724-04-22T00:00:00Z,82088490,118559796,Kingdom of Prussia,male,RETHORICS
Kant,Kant,Q9312,human,1804-02-12T00:00:00Z,1724-04-22T00:00:00Z,82088490,118559796,Kingdom of Prussia,male,RETHORICS
Edmund Husserl,Edmund Husserl,Q58586,human,1938-04-27T00:00:00Z,1859-04-08T00:00:00Z,44300322,118555006,Austria,male,RETHORICS
Husserl,Edmund Husserl,Q58586,human,1938-04-27T00:00:00Z,1859-04-08T00:00:00Z,44300322,118555006,Austria,male,RETHORICS
Edward P. J. Corbett,Edward P. J. Corbett,Q5344726,human,1998-06-24T00:00:00Z,1919-10-29T00:00:00Z,33287717,138166048,United States of America,male,RETHORICS
Corbett,Edward P. J. Corbett,Q5344726,human,1998-06-24T00:00:00Z,1919-10-29T00:00:00Z,33287717,138166048,United States of America,male,RETHORICS
J. L. Austin,J. L. Austin,Q272615,human,1960-02-08T00:00:00Z,1911-03-26T00:00:00Z,49253679,11850519X,United Kingdom,male,RETHORICS
Richard Lanham,Richard A. Lanham,Q2175169,human,,1936-04-26T00:00:00Z,109013618,1022249940,United States of America,male,RETHORICS
Lanham,Richard A. Lanham,Q2175169,human,,1936-04-26T00:00:00Z,109013618,1022249940,United States of America,male,RETHORICS
Stanley Fish,Stanley Fish,Q303680,human,,1938-04-19T00:00:00Z,106246231,121312143,United States of America,male,RETHORICS
John Frow,John Frow,Q6234317,human,,1948-11-13T00:00:00Z,279338075,137011458,Australia,male,RETHORICS
Frow,John Frow,Q6234317,human,,1948-11-13T00:00:00Z,279338075,137011458,Australia,male,RETHORICS
Pierre Bourdieu,Pierre Bourdieu,Q156268,human,2002-01-23T00:00:00Z,1930-08-01T00:00:00Z,71387829,118810758,France,male,RETHORICS
Bourdieu,Pierre Bourdieu,Q156268,human,2002-01-23T00:00:00Z,1930-08-01T00:00:00Z,71387829,118810758,France,male,RETHORICS
Hans Georg Gadamer,Hans-Georg Gadamer,Q76356,human,2002-03-13T00:00:00Z,1900-02-11T00:00:00Z,108229357,118537032,Germany,male,RETHORICS
Gadamer,Hans-Georg Gadamer,Q76356,human,2002-03-13T00:00:00Z,1900-02-11T00:00:00Z,108229357,118537032,Germany,male,RETHORICS
Hans Robert Jauss,Hans Robert Jauss,Q61262,human,1997-03-01T00:00:00Z,1921-12-12T00:00:00Z,108828994,118557149,Germany,male,RETHORICS
Jauss,Hans Robert Jauss,Q61262,human,1997-03-01T00:00:00Z,1921-12-12T00:00:00Z,108828994,118557149,Germany,male,RETHORICS
Wolfgang Iser,Wolfgang Iser,Q60486,human,2007-01-24T00:00:00Z,1926-07-22T00:00:00Z,49239148,118914480,Germany,male,RETHORICS
Iser,Wolfgang Iser,Q60486,human,2007-01-24T00:00:00Z,1926-07-22T00:00:00Z,49239148,118914480,Germany,male,RETHORICS
Martin Heidegger,Martin Heidegger,Q48301,human,1976-05-26T00:00:00Z,1889-09-26T00:00:00Z,24602613,118547798,Weimar Republic,male,RETHORICS
Heidegger,Martin Heidegger,Q48301,human,1976-05-26T00:00:00Z,1889-09-26T00:00:00Z,24602613,118547798,Weimar Republic,male,RETHORICS
Michael Riffaterre,Michael Riffaterre,Q886469,human,2006-05-27T00:00:00Z,1924-11-20T00:00:00Z,108334124,119051273,United States of America,male,RETHORICS
Riffaterre,Michael Riffaterre,Q886469,human,2006-05-27T00:00:00Z,1924-11-20T00:00:00Z,108334124,119051273,United States of America,male,RETHORICS
David Bleich,David Bleich,Q12277791,human,,1940-01-01T00:00:00Z,12403433,141954914,United States of America,male,RETHORICS
Bleich,David Bleich,Q12277791,human,,1940-01-01T00:00:00Z,12403433,141954914,United States of America,male,RETHORICS
Rhetoric Theor*,Rhetoric Theor*,,,,,,,,,RETHORICS
Theor* of Rethorics,Theor* of Rethorics,,,,,,,,,RETHORICS
Phenomenology,Phenomenology,Q179235,philosophical movement,,,,,,,RETHORICS
Reader-Response Theor*,Reader-Response Theor*,Q1479773,literary theory,,,,,,,RETHORICS
Reader-oriented Theor*,Reader-oriented Theor*,Q1479773,literary theory,,,,,,,RETHORICS
Friedrich Nietzsche,Friedrich Nietzsche,Q9358,human,1900-08-25T00:00:00Z,1844-10-15T00:00:00Z,89798474,118587943,Kingdom of Prussia,male,POSTSTRUCTURALSIM
Nietzsche,Friedrich Nietzsche,Q9358,human,1900-08-25T00:00:00Z,1844-10-15T00:00:00Z,89798474,118587943,Kingdom of Prussia,male,POSTSTRUCTURALSIM
Michel Foucault,Michel Foucault,Q44272,human,1984-06-25T00:00:00Z,1926-10-15T00:00:00Z,104722665,11853453X,France,male,POSTSTRUCTURALSIM
Foucault,Michel Foucault,Q44272,human,1984-06-25T00:00:00Z,1926-10-15T00:00:00Z,104722665,11853453X,France,male,POSTSTRUCTURALSIM
Georges Bataille,Georges Bataille,Q207359,human,1962-07-09T00:00:00Z,1897-09-10T00:00:00Z,41834843,118507109,France,male,POSTSTRUCTURALSIM
Bataille,Georges Bataille,Q207359,human,1962-07-09T00:00:00Z,1897-09-10T00:00:00Z,41834843,118507109,France,male,POSTSTRUCTURALSIM
Jacques Derrida,Jacques Derrida,Q130631,human,2004-10-08T00:00:00Z,1930-07-15T00:00:00Z,88958529,118677888,France,male,POSTSTRUCTURALSIM
Derrida,Jacques Derrida,Q130631,human,2004-10-08T00:00:00Z,1930-07-15T00:00:00Z,88958529,118677888,France,male,POSTSTRUCTURALSIM
Barbara Johnson,Barbara Johnson,Q4859030,human,2009-08-27T00:00:00Z,1947-10-04T00:00:00Z,84479333,135556961,United States of America,female,POSTSTRUCTURALSIM
Helene Cixous,Hélène Cixous,Q234964,human,,1937-06-05T00:00:00Z,49223428,118871269,France,female,POSTSTRUCTURALSIM
Cixous,Hélène Cixous,Q234964,human,,1937-06-05T00:00:00Z,49223428,118871269,France,female,POSTSTRUCTURALSIM
Jean-Francois Lyotard,Jean-François Lyotard,Q193257,human,1998-04-21T00:00:00Z,1924-08-10T00:00:00Z,108393539,118575589,France,male,POSTSTRUCTURALSIM
Lyotard,Jean-François Lyotard,Q193257,human,1998-04-21T00:00:00Z,1924-08-10T00:00:00Z,108393539,118575589,France,male,POSTSTRUCTURALSIM
Jean Baudrillard,Jean Baudrillard,Q182847,human,2007-03-06T00:00:00Z,1929-07-27T00:00:00Z,24597462,118653660,France,male,POSTSTRUCTURALSIM
Baudrillard,Jean Baudrillard,Q182847,human,2007-03-06T00:00:00Z,1929-07-27T00:00:00Z,24597462,118653660,France,male,POSTSTRUCTURALSIM
Gilles Deleuze,Gilles Deleuze,Q184226,human,1995-11-04T00:00:00Z,1925-01-18T00:00:00Z,22140703,118524534,France,male,POSTSTRUCTURALSIM
Deleuze,Gilles Deleuze,Q184226,human,1995-11-04T00:00:00Z,1925-01-18T00:00:00Z,22140703,118524534,France,male,POSTSTRUCTURALSIM
Felix Guattari,Félix Guattari,Q352465,human,1992-08-29T00:00:00Z,1930-04-30T00:00:00Z,49261949,118543113,France,male,POSTSTRUCTURALSIM
Guattari,Félix Guattari,Q352465,human,1992-08-29T00:00:00Z,1930-04-30T00:00:00Z,49261949,118543113,France,male,POSTSTRUCTURALSIM
Roland Barthes,Roland Barthes,Q179109,human,1980-03-26T00:00:00Z,1915-11-12T00:00:00Z,44295060,118506862,France,male,POSTSTRUCTURALSIM
Barthes,Roland Barthes,Q179109,human,1980-03-26T00:00:00Z,1915-11-12T00:00:00Z,44295060,118506862,France,male,POSTSTRUCTURALSIM
Joseph Hillis Miller,J. Hillis Miller,Q4132725,human,2021-02-07T00:00:00Z,1928-03-05T00:00:00Z,66483274,122789784,United States of America,male,POSTSTRUCTURALSIM
Linda Hutcheon,Linda Hutcheon,Q4558366,human,,1947-08-24T00:00:00Z,101807260,136347983,Canada,female,POSTSTRUCTURALSIM
Hutcheon,Linda Hutcheon,Q4558366,human,,1947-08-24T00:00:00Z,101807260,136347983,Canada,female,POSTSTRUCTURALSIM
Paul de Man,Paul de Man,Q353754,human,1983-12-21T00:00:00Z,1919-12-06T00:00:00Z,71401431,118887203,United States of America,male,POSTSTRUCTURALSIM
de Man,Paul de Man,Q353754,human,1983-12-21T00:00:00Z,1919-12-06T00:00:00Z,71401431,118887203,United States of America,male,POSTSTRUCTURALSIM
Poststructural*,Poststructural*,Q267932,theory,,,,,,,POSTSTRUCTURALSIM
Theory of Deconstruction,Theory of Deconstruction,Q180348,,,,,,,,POSTSTRUCTURALSIM
Deconstructivism,Deconstructivism,Q180348,,,,,,,,POSTSTRUCTURALSIM
Postmodern Theor*,Postmodern Theor*,,,,,,,,,POSTSTRUCTURALSIM
Ian F. Haney Lopez,Ian Haney-López,Q16973024,human,,1964-07-06T00:00:00Z,15001011,,,male,ETHNIC_STRUCTURAL
Haney Lopez,Haney Lopez,Q16973024,human,,1964-07-06T00:00:00Z,15001011,,,male,ETHNIC_STRUCTURAL
Shelley Fisher Fishkin,Shelley Fisher Fishkin,Q41146039,human,,1950-05-09T00:00:00Z,61565489,1050750071,,female,ETHNIC_STRUCTURAL
Fishkin,Shelley Fisher Fishkin,Q41146039,human,,1950-05-09T00:00:00Z,61565489,1050750071,,female,ETHNIC_STRUCTURAL
Henry Louis Gates,"Henry Louis Gates, Jr.",Q561458,human,,1950-09-16T00:00:00Z,79046442,119198037,United States of America,male,ETHNIC_STRUCTURAL
Toni Morrison,Toni Morrison,Q72334,human,2019-08-05T00:00:00Z,1931-02-18T00:00:00Z,109406177,118911627,United States of America,female,ETHNIC_STRUCTURAL
Gloria Anzaldua,Gloria E. Anzaldúa,Q3109110,human,2004-05-15T00:00:00Z,1942-09-26T00:00:00Z,9863544,119419408,Mexico,female,ETHNIC_STRUCTURAL
Anzaldua,Gloria E. Anzaldúa,Q3109110,human,2004-05-15T00:00:00Z,1942-09-26T00:00:00Z,9863544,119419408,Mexico,female,ETHNIC_STRUCTURAL
Lisa Lowe,Lisa Lowe,Q6558207,human,,1955-11-03T00:00:00Z,14850181,171728386,,female,ETHNIC_STRUCTURAL
Lowe,Lisa Lowe,Q6558207,human,,1955-11-03T00:00:00Z,14850181,171728386,,female,ETHNIC_STRUCTURAL
Robert Dale Parker,Robert Dale Parker,Q105658876,human,,1953-01-01T00:00:00Z,109126998,136179266,,male,ETHNIC_STRUCTURAL
Ethnic Literary,Ethnic Literary,,,,,,,,,ETHNIC_STRUCTURAL
Critical Race Theory,Critical Race Theory,Q5186753,philosophy,,,,,,,ETHNIC_STRUCTURAL
,,,political movement,,,,,,,
Dennis Walder,Dennis Walder,Q109805171,human,,1943-01-01T00:00:00Z,46777377,140603379,,male,COLONIAL_POSTCOLONIAL
Walder,Dennis Walder,Q109805171,human,,1943-01-01T00:00:00Z,46777377,140603379,,male,COLONIAL_POSTCOLONIAL
Ania Loomba,Ania Loomba,Q546061,human,,1955-01-01T00:00:00Z,92350545,1081794232,India,female,COLONIAL_POSTCOLONIAL
Loomba,Loomba,Q546061,human,,1955-01-01T00:00:00Z,92350545,1081794232,India,female,COLONIAL_POSTCOLONIAL
C.C. Eldridge,C. C Eldridge,Q104534601,human,,1942-05-16T00:00:00Z,12352197,170053083,United Kingdom,male,COLONIAL_POSTCOLONIAL
Eldridge,Eldridge,Q104534601,human,,1942-05-16T00:00:00Z,12352197,170053083,United Kingdom,male,COLONIAL_POSTCOLONIAL
Edward Said,Edward Said,Q201538,human,2003-09-25T00:00:00Z,1935-11-01T00:00:00Z,82539804,119174308,United States of America,male,COLONIAL_POSTCOLONIAL
